wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: setting up run y7rq6e80
wandb: Tracking run with wandb version 0.23.1
wandb: Run data is saved locally in /data/share/lijiang/250010178/250010178/debug_tmp_6*6for4/wandb/run-20251230_074112-y7rq6e80
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run bumbling-cloud-2
wandb: ⭐️ View project at https://wandb.ai/aysdwjx-ustc/alphazero-gobang-6x6
wandb: 🚀 View run at https://wandb.ai/aysdwjx-ustc/alphazero-gobang-6x6/runs/y7rq6e80
Using device: cuda
Game 262 | Winner: 1 | Loss: 2.4032 | Steps: 35
Game 263 | Winner: 1 | Loss: 2.7641 | Steps: 33
Game 264 | Winner: 1 | Loss: 2.2341 | Steps: 35
Game 265 | Winner: -1 | Loss: 2.9379 | Steps: 34
Game 266 | Winner: -1 | Loss: 3.0096 | Steps: 36
Game 267 | Winner: 1 | Loss: 2.6264 | Steps: 35
Game 268 | Winner: -1 | Loss: 2.6558 | Steps: 34
Game 269 | Winner: 1 | Loss: 2.8403 | Steps: 35
Game 270 | Winner: 1 | Loss: 2.6491 | Steps: 33
Game 271 | Winner: -1 | Loss: 2.6707 | Steps: 32
Game 272 | Winner: 1 | Loss: 2.4764 | Steps: 31
Game 273 | Winner: -1 | Loss: 2.3719 | Steps: 34
Game 274 | Winner: 1 | Loss: 2.6118 | Steps: 35
Game 275 | Winner: 1 | Loss: 2.8454 | Steps: 33
Game 276 | Winner: -1 | Loss: 2.4377 | Steps: 34
Game 277 | Winner: 1 | Loss: 2.6104 | Steps: 35
Game 278 | Winner: -1 | Loss: 2.8155 | Steps: 32
Game 279 | Winner: -1 | Loss: 2.5887 | Steps: 34
Game 280 | Winner: 1 | Loss: 2.3578 | Steps: 31
Game 281 | Winner: 1 | Loss: 2.8958 | Steps: 35
Game 282 | Winner: 1 | Loss: 2.4276 | Steps: 35
Game 283 | Winner: -1 | Loss: 2.9234 | Steps: 34
Game 284 | Winner: -1 | Loss: 2.4328 | Steps: 34
Game 285 | Winner: 0 | Loss: 2.5006 | Steps: 36
Game 286 | Winner: -1 | Loss: 2.6108 | Steps: 34
Game 287 | Winner: -1 | Loss: 2.5578 | Steps: 34
Game 288 | Winner: 1 | Loss: 2.9931 | Steps: 33
Game 289 | Winner: -1 | Loss: 2.4176 | Steps: 20
Game 290 | Winner: -1 | Loss: 2.9257 | Steps: 36
Game 291 | Winner: -1 | Loss: 2.6463 | Steps: 34
Game 292 | Winner: -1 | Loss: 2.6503 | Steps: 32
Game 293 | Winner: 1 | Loss: 2.9654 | Steps: 35
Game 294 | Winner: 0 | Loss: 2.7544 | Steps: 36
Game 295 | Winner: 0 | Loss: 2.6406 | Steps: 36
Game 296 | Winner: 0 | Loss: 2.5690 | Steps: 36
Game 297 | Winner: -1 | Loss: 2.6126 | Steps: 32
Game 298 | Winner: 1 | Loss: 2.5653 | Steps: 35
Game 299 | Winner: 1 | Loss: 2.8678 | Steps: 35
Game 300 | Winner: 1 | Loss: 2.7484 | Steps: 35
Game 301 | Winner: -1 | Loss: 2.7589 | Steps: 30
Game 302 | Winner: -1 | Loss: 2.5391 | Steps: 32
Game 303 | Winner: 1 | Loss: 2.5962 | Steps: 33
Game 304 | Winner: -1 | Loss: 2.6146 | Steps: 34
Game 305 | Winner: -1 | Loss: 2.3610 | Steps: 24
Game 306 | Winner: -1 | Loss: 2.6281 | Steps: 16
Game 307 | Winner: 0 | Loss: 2.4195 | Steps: 36
Game 308 | Winner: 1 | Loss: 2.3734 | Steps: 33
Game 309 | Winner: 1 | Loss: 2.8694 | Steps: 35
Game 310 | Winner: -1 | Loss: 2.5026 | Steps: 34
Game 311 | Winner: 1 | Loss: 2.6096 | Steps: 33
Game 312 | Winner: -1 | Loss: 2.7807 | Steps: 32
Game 313 | Winner: 1 | Loss: 2.6682 | Steps: 35
Game 314 | Winner: 1 | Loss: 2.8322 | Steps: 31
Game 315 | Winner: 1 | Loss: 2.4579 | Steps: 31
Game 316 | Winner: 0 | Loss: 2.7608 | Steps: 36
Game 317 | Winner: 1 | Loss: 2.9130 | Steps: 29
Game 318 | Winner: 1 | Loss: 2.5522 | Steps: 31
Game 319 | Winner: 1 | Loss: 2.6138 | Steps: 35
Game 320 | Winner: 1 | Loss: 2.6329 | Steps: 35
Game 321 | Winner: 1 | Loss: 2.6681 | Steps: 33
Game 322 | Winner: 1 | Loss: 2.6058 | Steps: 33
Game 323 | Winner: -1 | Loss: 2.7081 | Steps: 34
Game 324 | Winner: -1 | Loss: 2.8440 | Steps: 34
Game 325 | Winner: 1 | Loss: 2.7440 | Steps: 35
Game 326 | Winner: -1 | Loss: 2.6700 | Steps: 36
Game 327 | Winner: 1 | Loss: 2.3650 | Steps: 33
Game 328 | Winner: -1 | Loss: 2.6792 | Steps: 34
Game 329 | Winner: -1 | Loss: 2.4875 | Steps: 34
Game 330 | Winner: 1 | Loss: 2.3085 | Steps: 33
Game 331 | Winner: -1 | Loss: 2.4068 | Steps: 34
Game 332 | Winner: -1 | Loss: 2.7413 | Steps: 34
Game 333 | Winner: -1 | Loss: 2.6118 | Steps: 34
Game 334 | Winner: -1 | Loss: 3.0108 | Steps: 34
Game 335 | Winner: -1 | Loss: 2.7283 | Steps: 36
Game 336 | Winner: 1 | Loss: 2.7459 | Steps: 33
Game 337 | Winner: -1 | Loss: 2.5494 | Steps: 32
Game 338 | Winner: -1 | Loss: 2.7462 | Steps: 34
Game 339 | Winner: -1 | Loss: 2.3818 | Steps: 34
Game 340 | Winner: -1 | Loss: 2.4931 | Steps: 34
Game 341 | Winner: 1 | Loss: 2.4594 | Steps: 35
Game 342 | Winner: 1 | Loss: 2.5873 | Steps: 35
Game 343 | Winner: -1 | Loss: 2.4435 | Steps: 36
Game 344 | Winner: 1 | Loss: 2.7720 | Steps: 35
Game 345 | Winner: 0 | Loss: 2.6611 | Steps: 36
Game 346 | Winner: 1 | Loss: 2.6311 | Steps: 35
Game 347 | Winner: -1 | Loss: 2.7110 | Steps: 28
Game 348 | Winner: 0 | Loss: 2.4478 | Steps: 36
Game 349 | Winner: 1 | Loss: 2.6454 | Steps: 35
Game 350 | Winner: -1 | Loss: 2.7900 | Steps: 34
Game 351 | Winner: -1 | Loss: 2.3166 | Steps: 36
Game 352 | Winner: 0 | Loss: 2.5383 | Steps: 36
Game 353 | Winner: -1 | Loss: 2.6324 | Steps: 36
Game 354 | Winner: 1 | Loss: 2.4673 | Steps: 33
Game 355 | Winner: 0 | Loss: 2.4302 | Steps: 36
Game 356 | Winner: 1 | Loss: 2.2264 | Steps: 35
Game 357 | Winner: 1 | Loss: 2.5416 | Steps: 33
Game 358 | Winner: 0 | Loss: 2.6079 | Steps: 36
Game 359 | Winner: 1 | Loss: 2.7563 | Steps: 35
Game 360 | Winner: 1 | Loss: 2.3665 | Steps: 35
Game 361 | Winner: 1 | Loss: 2.3797 | Steps: 35
Game 362 | Winner: -1 | Loss: 2.3294 | Steps: 36
Game 363 | Winner: 1 | Loss: 2.5235 | Steps: 35
